ALL SCPP DATA FOR 1986 (fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles (i.e. this data set).  Prior to that date, lower magnification 
was used and the data quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. 
"0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

861218 1150  72.00  55.00   3.00   2.30    .28    .22  .266E-02  -15.00   5.00 R3B-F    2 
861218 1150  81.00  56.00   3.50   2.60    .33    .24  .384E-02  999.00 999.00 I4       0 
861218 1150  81.00  59.00   3.50   2.00    .33    .19  .175E-02  999.00 999.00 I4       0 
861218 1200  37.00  17.00   6.80   4.80    .64    .45  .242E-01   -7.00   1.00 R-N1E    2 
861218 1200  43.00  21.00  14.00   6.10   1.32    .57  .496E-01  -15.00   5.00 R-P7A-A  2 
861218 1200  68.00  11.00   5.70   4.00    .54    .38  .140E-01  -15.00   5.00 R3B-F    2 
861218 1200  60.00  28.00   3.80   1.90    .36    .18  .150E-02   -7.00   1.00 N2C      2 
861218 1200  90.00  35.00  12.60   5.20   1.19    .49  .307E-01   -7.00   1.00 R-N1E    1 
861218 1200  87.00  41.00   4.20   2.30    .40    .22  .266E-02   -7.00   1.00 N1E      1 
861218 1200  20.00  60.00   8.70   3.90    .82    .37  .130E-01   -7.00   1.00 R-N2C    2 
861218 1210   6.00  23.00  18.50   8.20   1.74    .77  .121E+00  -15.00   5.00 R3B-FA   1 
861218 1210  27.00   5.00   5.00   3.90    .47    .37  .130E-01  -15.00   5.00 R3B      2 
861218 1210  50.00  17.00  51.00  17.00   4.80   1.60  .107E+01  -15.00   5.00 R3B-FA   1 
861218 1210  67.00   8.00  11.30   7.70   1.06    .73  .998E-01  -15.00   5.00 R3B      1 
861218 1210  79.00   2.00   5.20   2.60    .49    .24  .384E-02  -15.00   5.00 R3B-F    2 
