ALL SCPP DATA FOR 1986 (winter and fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles.  Prior to that date, lower magnification was used and the data
quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. "0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

860203 1944  93.00  42.00   1.50    .95    .60    .38  .143E-01  -15.00   2.50 R3B-F    2 
860203 1944  95.00  38.00   2.30   1.10    .92    .44  .221E-01  -15.00   2.50 R3B-F    3 
860203 1944  96.00  30.00   4.50   1.90   1.80    .76  .114E+00  -15.00   2.50 R3B-F    1 
860203 1944  98.00  34.00   1.20   1.00    .48    .40  .166E-01  999.00 999.00 I4       0 
860203 1944   2.00  62.00   3.40   2.50   1.36   1.00  .260E+00  -25.00   5.00 C2B      3 
860203 1944   7.00  53.50   4.80   1.70   1.92    .68  .817E-01  -15.00   2.50 R3B      2 
860203 1944  11.00  55.00   1.80   1.10    .72    .44  .221E-01  -25.00   5.00 C2B      1 
860203 1944  18.00  53.00   1.80    .90    .72    .36  .121E-01  -25.00   5.00 CP1A     1 
860203 1944  26.00  49.00    .70    .50    .28    .20  .208E-02  -30.00  10.00 C1E      1 
860203 1944  28.00  49.00   2.20   1.10    .88    .44  .221E-01  -25.00   5.00 C2B      1 
860203 1944  37.00  54.00   1.40   1.30    .56    .52  .365E-01  -25.00   5.00 C2B      1 
860203 1944  47.50  56.00    .60    .40    .24    .16  .106E-02  -30.00  10.00 C1E      2 
860203 1944  48.00  57.00   1.50   1.35    .60    .54  .409E-01  -25.00   5.00 C2B      2 
860203 1944  51.00  55.00   2.40   1.65    .96    .66  .747E-01  -15.00   2.50 R3B      3 
860203 1944  52.00  61.00   4.80   2.45   1.92    .98  .245E+00  -15.00   5.00 P7A      3 
860203 1944  53.00  50.00   3.80   1.78   1.52    .71  .938E-01  -15.00   5.00 P7A      2 
860203 1944  65.00  49.00   2.30   1.60    .92    .64  .681E-01  -25.00   5.00 C2B      1 
860203 1944  67.00  46.00   2.60   1.50   1.04    .60  .561E-01  -15.00   5.00 P7A      2 
860203 1944  68.50  49.00   1.20    .90    .48    .36  .121E-01  999.00 999.00 I4       0 
860203 1944  69.00  50.50   1.30   1.25    .52    .50  .325E-01  -30.00  10.00 C1E      3 
860203 1944  69.50  60.00   2.00   1.40    .80    .56  .456E-01  -15.00   2.50 R3B-F    3 
860203 1944  70.00  59.00   1.50   1.30    .60    .52  .365E-01  -25.00   5.00 C2B      1 
860203 1944  72.00  52.00   1.20   1.00    .48    .40  .166E-01  999.00 999.00 I4       0 
860203 1944  76.00  55.00   2.00   1.35    .80    .54  .409E-01  -15.00   3.50 P1A      2 
860203 1944  76.00  52.00   1.25    .60    .50    .24  .359E-02  -30.00  10.00 C1E      1 
860203 1944  83.00  46.00   2.00    .85    .80    .34  .102E-01  -15.00   2.50 R3B-F    3 
860203 1944  84.00  54.50   1.50   1.10    .60    .44  .221E-01  999.00 999.00 I4       0 
860203 1944  92.00  45.00   1.40   1.10    .56    .44  .221E-01  -15.00   3.50 P1A      1 
860203 1944  92.00  54.00   1.50   1.10    .60    .44  .221E-01  -15.00   3.50 P1A      3 
860203 1944  96.00  51.00   1.50    .90    .60    .36  .121E-01  -25.00   5.00 C2B      1 
860203 1944  97.50  50.00   2.20   1.20    .88    .48  .287E-01  -25.00   5.00 C2B      1 
860203 2001  21.50  42.00   2.60   1.18   1.04    .47  .273E-01  -25.00   5.00 C2B      2 
860203 2001  22.00  38.50   2.10   1.30    .84    .52  .365E-01  -15.00   3.50 P1A      1 
860203 2001  23.50  26.00   1.30   1.00    .52    .40  .166E-01  -15.00   3.50 P1A      1 
860203 2001  24.00  35.00   2.50   1.30   1.00    .52  .365E-01  -25.00   5.00 C2B      3 
860203 2001  25.50  41.00   1.00    .85    .40    .34  .102E-01  -30.00  10.00 C1E      2 
860203 2001  26.50  29.00    .80    .38    .32    .15  .913E-03  -15.00   3.50 P1A      2 
860203 2001  28.00  26.00   1.90   1.40    .76    .56  .456E-01  999.00 999.00 I4       0 
860203 2001  28.00  30.00   2.20   1.40    .88    .56  .456E-01  -15.00   5.00 P7A      3 
860203 2001  28.00  38.00   2.10   1.20    .84    .48  .287E-01  -15.00   5.00 P7A      2 
860203 2001  30.00  37.00   1.20   1.00    .48    .40  .166E-01  -30.00  10.00 C1E      2 
860203 2001  31.00  44.00   1.20    .90    .48    .36  .121E-01  -25.00   5.00 C2B      2 
860203 2001  31.00  34.00    .80    .80    .32    .32  .851E-02  -30.00  10.00 C1E      2 
860203 2001  32.00  41.00   1.80   1.40    .72    .56  .456E-01  999.00 999.00 I4       0 
860203 2001  32.00  32.00    .90    .85    .36    .34  .102E-01  -30.00  10.00 C1E      1 
860203 2001  32.50  27.00   1.00    .95    .40    .38  .143E-01  -30.00  10.00 C1E      2 
860203 2001  32.50  42.00   1.00    .95    .40    .38  .143E-01  -30.00  10.00 C1E      3 
860203 2001  33.50  36.00   1.60    .95    .64    .38  .143E-01  -15.00   3.50 P1A      3 
860203 2001  34.00  44.00    .90    .60    .36    .24  .359E-02  -25.00   5.00 C2B      2 
860203 2001  35.00  26.00   4.00   1.60   1.60    .64  .681E-01  -15.00   5.00 P7A      2 
860203 2001  36.00  24.00   1.60   1.10    .64    .44  .221E-01  -25.00   5.00 CP1A     1 
860203 2001  37.00  44.00   1.10   1.05    .44    .42  .193E-01  -15.00   5.00 P7A      3 
860203 2001  37.50  43.00   1.20   1.00    .48    .40  .166E-01  -25.00   5.00 C2B      1 
860203 2001  38.00  36.00    .95    .95    .38    .38  .143E-01  -15.00   3.50 P1A      1 
860203 2001  38.50  28.50   1.30   1.10    .52    .44  .221E-01  -15.00   3.50 P1A      1 
860203 2001  39.00  28.00   1.45   1.10    .58    .44  .221E-01  -25.00   5.00 C2B      1 
860203 2001  39.50  29.50    .90    .70    .36    .28  .570E-02  -25.00   5.00 C2B      3 
860203 2001  40.00  33.00    .70    .59    .28    .24  .342E-02  -30.00  10.00 C1E      2 
860203 2001  40.50  30.50    .90    .90    .36    .36  .121E-01  -15.00   3.50 P1A      2 
860203 2001  41.00  26.00   1.35    .90    .54    .36  .121E-01  -27.50   2.50 C1C      2 
860203 2001  42.00  31.00   1.90   1.20    .76    .48  .287E-01  -25.00   5.00 C2B      2 
860203 2001  42.00  34.00   1.50   1.00    .60    .40  .166E-01  -30.00  10.00 C1E      1 
860203 2001  42.00  36.00   1.00    .95    .40    .38  .143E-01  999.00 999.00 I4       0 
860203 2001  42.50  37.00   2.10   1.30    .84    .52  .365E-01  -25.00   5.00 CP1A     1 
860203 2001  42.50  24.00   1.55   1.20    .62    .48  .287E-01  -30.00  10.00 C1E      1 
860203 2001  43.50  31.00    .95    .70    .38    .28  .570E-02  -30.00  10.00 C1E      1 
860203 2001  45.00  30.00   2.50   1.60   1.00    .64  .681E-01   15.00   5.00 P7A      1 
860203 2001  45.00  36.00   1.40   1.15    .56    .46  .253E-01  -25.00   5.00 C2B      3 
860203 2001  46.00  35.50   1.20   1.10    .48    .44  .221E-01  -25.00   5.00 C2B      3 
860203 2001  46.00  31.00   1.60   1.15    .64    .46  .253E-01  -25.00   5.00 C2B      1 
